"Search Query", "URL"
"biking", "https://soundcloud.com/search?q=biking"
"farruko", "https://soundcloud.com/search?q=farruko"
"ultra music festival 2017", "https://soundcloud.com/search?q=ultra%20music%20festival%202017"
"humble kendrick", "https://soundcloud.com/search?q=humble%20kendrick"
"no frauds", "https://soundcloud.com/search?q=no%20frauds"
"odesza", "https://soundcloud.com/search?q=odesza"
"arcangel", "https://soundcloud.com/search?q=arcangel"
"bassnectar", "https://soundcloud.com/search?q=bassnectar"
"pnb", "https://soundcloud.com/search?q=pnb"
"playboi carti magnolia", "https://soundcloud.com/search?q=playboi%20carti%20magnolia"
"k camp", "https://soundcloud.com/search?q=k%20camp"
"schoolboy q", "https://soundcloud.com/search?q=schoolboy%20q"
"rockabye", "https://soundcloud.com/search?q=rockabye"
"aventura", "https://soundcloud.com/search?q=aventura"
"shy glizzy", "https://soundcloud.com/search?q=shy%20glizzy"
"playboi carti woke up", "https://soundcloud.com/search?q=playboi%20carti%20woke%20up"
"my shit", "https://soundcloud.com/search?q=my%20shit"
"push me to the edge", "https://soundcloud.com/search?q=push%20me%20to%20the%20edge"
"shape of you ed sheeran", "https://soundcloud.com/search?q=shape%20of%20you%20ed%20sheeran"
"usher", "https://soundcloud.com/search?q=usher"
"jungle", "https://soundcloud.com/search?q=jungle"
"say you wont let go", "https://soundcloud.com/search?q=say%20you%20wont%20let%20go"
"ispy lil yachty", "https://soundcloud.com/search?q=ispy%20lil%20yachty"
"cardi b", "https://soundcloud.com/search?q=cardi%20b"
"cash me outside", "https://soundcloud.com/search?q=cash%20me%20outside"
"still think about you", "https://soundcloud.com/search?q=still%20think%20about%20you"
"chief keef kills", "https://soundcloud.com/search?q=chief%20keef%20kills"
"free smoke", "https://soundcloud.com/search?q=free%20smoke"
"kendrick", "https://soundcloud.com/search?q=kendrick"
"moaning", "https://soundcloud.com/search?q=moaning"
"french montana unforgettable", "https://soundcloud.com/search?q=french%20montana%20unforgettable"
"chris brown privacy", "https://soundcloud.com/search?q=chris%20brown%20privacy"
"down marian hill", "https://soundcloud.com/search?q=down%20marian%20hill"
"stay", "https://soundcloud.com/search?q=stay"
"rap", "https://soundcloud.com/search?q=rap"
"get right witcha", "https://soundcloud.com/search?q=get%20right%20witcha"
"cartel de santa", "https://soundcloud.com/search?q=cartel%20de%20santa"
"mike sherm", "https://soundcloud.com/search?q=mike%20sherm"
"white iverson", "https://soundcloud.com/search?q=white%20iverson"
"starboy", "https://soundcloud.com/search?q=starboy"
"bitch ugly god", "https://soundcloud.com/search?q=bitch%20ugly%20god"
"mgk", "https://soundcloud.com/search?q=mgk"
"magnolia", "https://soundcloud.com/search?q=magnolia"
"no flockin", "https://soundcloud.com/search?q=no%20flockin"
"lud foe recuperate", "https://soundcloud.com/search?q=lud%20foe%20recuperate"
"fake love drake", "https://soundcloud.com/search?q=fake%20love%20drake"
"august alsina", "https://soundcloud.com/search?q=august%20alsina"
"los temerarios", "https://soundcloud.com/search?q=los%20temerarios"
"the heart part 4", "https://soundcloud.com/search?q=the%20heart%20part%204"
"ayo and teo", "https://soundcloud.com/search?q=ayo%20and%20teo"
